Country/Territory of Seizure,Year,Quantity Seized,,,,,
Suriname,2024,617.327845,,,,,
Sweden,2011,1.24,,,,,
Sweden,2012,8.868,,,,,
Sweden,2020,304.85182,,,,,
Sweden,2021,109.64834999999998,,,,,
Sweden,2022,543.2429700000001,,,,,
Sweden,2023,106.24014899999997,,,,,
Sweden,2024,1.1754199999999992,,,,,
Switzerland,2011,14.701,,,,,
Switzerland,2012,0.6,,,,,
Switzerland,2017,8.464300000000001,,,,,
Switzerland,2018,11.769309999999999,,,,,
Switzerland,2019,56.128355,,,,,
Switzerland,2020,4.23553,,,,,
Switzerland,2021,103.355013,,,,,
Switzerland,2022,579.930962,,,,,
Switzerland,2023,67.83418,,,,,
Syrian Arab Republic,2020,0.002,,,,,
Syrian Arab Republic,2021,0.01,,,,,
Thailand,2011,1.5,,,,,
Thailand,2016,4.094999999999999,,,,,
Thailand,2022,3.367,,,,,
Thailand,2024,5.2285,,,,,
Trinidad and Tobago,2012,393.321,,,,,
Trinidad and Tobago,2013,0.6314,,,,,
Trinidad and Tobago,2015,48.92,,,,,
Tunisia,2020,0.5449999999999999,,,,,
Ukraine,2011,3.06622,,,,,
Ukraine,2012,84.0208804,,,,,
Ukraine,2019,1.5556,,,,,
Ukraine,2021,0.148118,,,,,
Ukraine,2023,3.2965,,,,,
Ukraine,2024,0.056,,,,,
United Arab Emirates,2018,8,,,,,
United Arab Emirates,2021,490.6,,,,,
United Kingdom,2011,14,,,,,
United Republic of Tanzania,2020,4.52,,,,,
United Republic of Tanzania,2021,0.811,,,,,
United Republic of Tanzania,2023,0.8181999999999999,,,,,
United States of America,2019,793243,,,,,
United States of America,2020,1199640.363,,,,,
United States of America,2021,780502.7017,,,,,
United States of America,2022,738092.13,,,,,
United States of America,2023,448829.7376,,,,,
Uruguay,2011,9.309999999999999,,,,,
Uruguay,2013,16.655,,,,,
Uruguay,2014,169.40550000000002,,,,,
Uruguay,2015,47.141999999999996,,,,,
Uruguay,2016,178.4907,,,,,
Uruguay,2019,2130.086723,,,,,
Uruguay,2022,3413.005,,,,,
Uruguay,2023,2341.236,,,,,
Uruguay,2024,667.729,,,,,
