DEPARTURE_COUNTRY,DESTINATION_COUNTRY,seizure_count,total_quantity_kg,avg_quantity_kg,primary_drug,first_year,last_year
Kenya,Italy,1,0.167,0.167,Non-specified cocaine-type,2012.0,2012.0
Kenya,Spain,1,0.859,0.859,Non-specified cocaine-type,2011.0,2011.0
Latvia,Estonia,1,0.821,0.821,Non-specified cocaine-type,2015.0,2015.0
Latvia,Lithuania,1,1.671,1.671,Non-specified cocaine-type,2014.0,2014.0
Latvia,Russian Federation,1,1.322,1.322,Non-specified cocaine-type,2014.0,2014.0
Luxembourg,Luxembourg,2,1.172,0.586,Non-specified cocaine-type,2014.0,2014.0
Martinique,Italy,1,159.593,159.593,Non-specified cocaine-type,2011.0,2011.0
Mexico,Austria,1,4.151,4.151,Non-specified cocaine-type,2012.0,2012.0
Mexico,Belgium,1,3.264,3.264,Non-specified cocaine-type,2011.0,2011.0
Mexico,Bulgaria,3,0.156,0.052,Non-specified cocaine-type,2014.0,2016.0
Mexico,Cuba,5,2.723,0.545,Non-specified cocaine-type,2011.0,2014.0
Mexico,Italy,4,20.047,5.012,Non-specified cocaine-type,2012.0,2013.0
Mexico,Portugal,2,2.595,1.297,Non-specified cocaine-type,2011.0,2011.0
Mexico,Spain,80,707.161,8.84,Non-specified cocaine-type,2011.0,2016.0
Mexico,Turkey,1,99.155,99.155,Non-specified cocaine-type,2012.0,2012.0
Morocco,Ghana,1,2.7,2.7,Non-specified cocaine-type,2012.0,2012.0
Morocco,Morocco,3,1.54,0.513,Non-specified cocaine-type,2011.0,2016.0
Morocco,Netherlands,1,0.248,0.248,Non-specified cocaine-type,2013.0,2013.0
Morocco,Portugal,1,0.001,0.001,Non-specified cocaine-type,2015.0,2015.0
Morocco,Spain,19,58.673,3.088,Non-specified cocaine-type,2011.0,2016.0
Mozambique,Spain,1,0.981,0.981,Non-specified cocaine-type,2013.0,2013.0
Netherlands,Austria,57,62.849,1.103,Non-specified cocaine-type,2012.0,2016.0
